step,pos_x_m,pos_y_m,pos_i,pos_j,concentration
0,11.325000,8.425000,168,226,0.000000
1,11.375000,8.425000,168,227,0.000000
2,11.375000,8.475000,169,227,0.018790
3,11.375000,8.425000,168,227,0.015615
4,11.425000,8.425000,168,228,0.018567
5,11.425000,8.475000,169,228,0.001321
6,11.375000,8.475000,169,227,0.016980
7,11.325000,8.475000,169,226,0.002153
8,11.375000,8.475000,169,227,0.000000
9,11.325000,8.475000,169,226,0.015115
10,11.325000,8.425000,168,226,0.000000
11,11.325000,8.375000,167,226,0.001520
12,11.325000,8.325000,166,226,0.003716
13,11.325000,8.275000,165,226,0.000000
14,11.325000,8.225000,164,226,0.003553
15,11.375000,8.225000,164,227,0.006416
16,11.325000,8.225000,164,226,0.000000
17,11.375000,8.225000,164,227,0.011994
18,11.325000,8.225000,164,226,0.000000
19,11.325000,8.275000,165,226,0.000428
20,11.275000,8.275000,165,225,0.009990
21,11.225000,8.275000,165,224,0.000000
22,11.225000,8.325000,166,224,0.014157
23,11.175000,8.325000,166,223,0.007270
24,11.125000,8.325000,166,222,0.006066
25,11.175000,8.325000,166,223,0.003084
26,11.125000,8.325000,166,222,0.003315
27,11.125000,8.375000,167,222,0.005488
28,11.075000,8.375000,167,221,0.019303
29,11.125000,8.375000,167,222,0.000000
30,11.175000,8.375000,167,223,0.000000
31,11.125000,8.375000,167,222,0.000000
32,11.175000,8.375000,167,223,0.006796
33,11.225000,8.375000,167,224,0.013496
34,11.175000,8.375000,167,223,0.000000
35,11.125000,8.375000,167,222,0.005905
36,11.175000,8.375000,167,223,0.000000
37,11.225000,8.375000,167,224,0.005248
38,11.275000,8.375000,167,225,0.000000
39,11.325000,8.375000,167,226,0.009366
40,11.325000,8.425000,168,226,0.000000
41,11.325000,8.375000,167,226,0.008222
42,11.275000,8.375000,167,225,0.012613
43,11.325000,8.375000,167,226,0.000000
44,11.325000,8.325000,166,226,0.001289
45,11.375000,8.325000,166,227,0.014536
46,11.325000,8.325000,166,226,0.016833
47,11.325000,8.275000,165,226,0.000000
48,11.275000,8.275000,165,225,0.003902
49,11.325000,8.275000,165,226,0.000310
