sample_id,path_number,map_name,roi_origin_px_i,roi_origin_px_j,source_relative_px_i,source_relative_px_j,ground_truth_file,obstacle_map_file,robot_path_file,num_path_steps
sample_00311,3,demo,,,,,sample_00311_gt.npy,sample_00311_obstacles.npy,sample_00311_path_3.csv,50
sample_00311,0,demo,,,,,sample_00311_gt.npy,sample_00311_obstacles.npy,sample_00311_path_0.csv,50
sample_00241,1,demo,,,,,sample_00241_gt.npy,sample_00241_obstacles.npy,sample_00241_path_1.csv,50
sample_00241,3,demo,,,,,sample_00241_gt.npy,sample_00241_obstacles.npy,sample_00241_path_3.csv,50
sample_00067,4,demo,,,,,sample_00067_gt.npy,sample_00067_obstacles.npy,sample_00067_path_4.csv,50
sample_00067,2,demo,,,,,sample_00067_gt.npy,sample_00067_obstacles.npy,sample_00067_path_2.csv,50
sample_00067,1,demo,,,,,sample_00067_gt.npy,sample_00067_obstacles.npy,sample_00067_path_1.csv,50
sample_00067,3,demo,,,,,sample_00067_gt.npy,sample_00067_obstacles.npy,sample_00067_path_3.csv,50
sample_00067,0,demo,,,,,sample_00067_gt.npy,sample_00067_obstacles.npy,sample_00067_path_0.csv,50
sample_00092,1,demo,,,,,sample_00092_gt.npy,sample_00092_obstacles.npy,sample_00092_path_1.csv,50
sample_00092,2,demo,,,,,sample_00092_gt.npy,sample_00092_obstacles.npy,sample_00092_path_2.csv,50
sample_00042,2,demo,,,,,sample_00042_gt.npy,sample_00042_obstacles.npy,sample_00042_path_2.csv,50
sample_00340,4,demo,,,,,sample_00340_gt.npy,sample_00340_obstacles.npy,sample_00340_path_4.csv,50
sample_00340,0,demo,,,,,sample_00340_gt.npy,sample_00340_obstacles.npy,sample_00340_path_0.csv,50
sample_00340,2,demo,,,,,sample_00340_gt.npy,sample_00340_obstacles.npy,sample_00340_path_2.csv,50
sample_00340,3,demo,,,,,sample_00340_gt.npy,sample_00340_obstacles.npy,sample_00340_path_3.csv,50
sample_00162,1,demo,,,,,sample_00162_gt.npy,sample_00162_obstacles.npy,sample_00162_path_1.csv,50
sample_00162,4,demo,,,,,sample_00162_gt.npy,sample_00162_obstacles.npy,sample_00162_path_4.csv,50
sample_00162,0,demo,,,,,sample_00162_gt.npy,sample_00162_obstacles.npy,sample_00162_path_0.csv,50
sample_00162,3,demo,,,,,sample_00162_gt.npy,sample_00162_obstacles.npy,sample_00162_path_3.csv,50
sample_00336,1,demo,,,,,sample_00336_gt.npy,sample_00336_obstacles.npy,sample_00336_path_1.csv,50
sample_00336,0,demo,,,,,sample_00336_gt.npy,sample_00336_obstacles.npy,sample_00336_path_0.csv,50
sample_00202,4,demo,,,,,sample_00202_gt.npy,sample_00202_obstacles.npy,sample_00202_path_4.csv,50
sample_00202,0,demo,,,,,sample_00202_gt.npy,sample_00202_obstacles.npy,sample_00202_path_0.csv,50
sample_00202,3,demo,,,,,sample_00202_gt.npy,sample_00202_obstacles.npy,sample_00202_path_3.csv,50
sample_00013,0,demo,,,,,sample_00013_gt.npy,sample_00013_obstacles.npy,sample_00013_path_0.csv,50
